,Unnamed: 0,index,mr_new,pseudo_mr,da,text,,,num_hops,num_triples,shape,LM_prob,PPL,pseudo_bleu,scores,pred,criteria,da_acc
652,652,65,Pumped Up Kicks performer Foster the People. Foster the People genre alternative rock. Pumped Up Kicks rating excellent. Pumped Up Kicks record label Startime International. Pumped Up Kicks record label Columbia Records. Pumped Up Kicks part of Torches.,Pumped Up Kicks Foster the People alternative rock excellent Startime International Columbia Records Torches,inform,Pumped Up Kicks by Foster the People is an excellent alternative rock song released by Startime International and Columbia Records from their album Torches.,24,24,2,6,(X (X) (X) (X) (X) (X (X))),0.004886599588,204.6412811,13.40389685,0.88614845,inform,match_scores,1
664,664,66,For a Friend genre pop music. Rambo Amadeus genre pop music. For a Friend publication date 1988. For a Friend performer The Communards. The Singles Collection 1984/1990 performer The Communards.,For a Friend Rambo Amadeus pop music 1988 The Singles Collection 1984/1990 The Communards,inform," For a Friend is a 1988 pop song by The Communards, off their album The Singles Collection 1984/1990, and produced by Rambo Amadeus.",23,23,2,5,(X (X) (X (X)) (X (X))),0.007645713752,130.7922363,25.33654946,0.8987866,inform,match_scores,1
675,675,67,Paint It Black rating excellent. Paint It Black performer The Rolling Stones. The Rolling Stones genre rhythm and blues.,Paint It Black excellent The Rolling Stones rhythm and blues,give_opinion,Paint It Black by The Rolling Stones is an excellent song that really captures the essence of rhythm and blues.,20,20,2,3,(X (X (X) (X))),0.01787796792,55.93476868,15.82128589,0.8440984,give_opinion,match_scores,1
689,689,68,Black Barbies genre hip hop music. Bobby Brown genre hip hop music.,Black Barbies Bobby Brown hip hop music,inform,Black Barbies is a hip hop song and Bobby Brown is a hip hop artist.,15,15,2,2,(X (X (X))),0.01498587243,66.72951508,8.471785908,0.8642496,give_opinion,all_scores_PPL,0
694,694,69,Littlest Things rating excellent. Littlest Things producer Mark Ronson. Mark Ronson record label Columbia Records.,Littlest Things excellent Mark Ronson Columbia Records,verify_attribute,"
You love Littlest Things by Mark Ronson. Do you think Columbia Records usually produces great songs?",16,16,2,3,(X (X (X) (X))),0.01153487842,86.69358826,7.439820586,0.820524,verify_attribute,match_scores,1
709,709,70,"Money, Cash, Hoes performer DMX. DMX genre hardcore hip hop. Money, Cash, Hoes publication date 1998. Money, Cash, Hoes part of Vol. 2... Hard Knock Life. Money, Cash, Hoes record label Def Jam Recordings. DMX record label Bloodline Records. DMX record label Ruff Ryders Entertainment. ","Money, Cash, Hoes DMX hardcore hip hop 1998 Vol. 2... Hard Knock Life Def Jam Recordings Bloodline Records Ruff Ryders Entertainment",inform," Money, Cash, Hoes is a 1998 hardcore hip hop song by DMX, released as part of his album Vol. 2... Hard Knock Life by Def Jam Recordings, Bloodline Records and Ruff Ryders Entertainment.",33,33,2,7,(X (X) (X) (X) (X (X) (X) (X))),0.01325348802,75.45183563,37.54034329,0.9443258,inform,match_scores,1
719,719,71,Feel Again genre pop music. Mandy Capristo genre pop music. Feel Again part of Native. Feel Again record label Mosley Music Group. Feel Again performer OneRepublic. Rambo Amadeus genre pop music.,Feel Again Mandy Capristo pop music Native Mosley Music Group OneRepublic Rambo Amadeus,inform," Feel Again by OneRepublic is a pop song from the album Native, published by Mosley Music Group. Other pop music artists include Mandy Capristo and Rambo Amadeus.",27,27,2,6,(X (X) (X) (X) (X (X) (X))),0.00773032654,129.3606415,8.775177092,0.89372945,inform,match_scores,1
723,723,72,I Was Gonna Cancel performer Kylie Minogue. Kylie Minogue genre electronic music. I Was Gonna Cancel producer Pharrell Williams. I Was Gonna Cancel publication date 2014. I Was Gonna Cancel part of Kiss Me Once. Kylie Minogue genre bubblegum music.,I Was Gonna Cancel Kylie Minogue electronic music Pharrell Williams 2014 Kiss Me Once bubblegum music,inform," In 2014, electronic music artist Kylie Minogue released ""I Was Gonna Cancel,"" produced by Pharrell Williams, as part of her bubblegum music album Kiss Me Once.",26,26,2,6,(X (X) (X) (X) (X (X) (X))),0.02415421458,41.4006424,14.95764445,0.8902749,inform,match_scores,1
730,730,73,Matador rating excellent. Matador producer K. C. Porter. Pasiones producer K. C. Porter.,Matador excellent K. C. Porter Pasiones,give_opinion,K. C. Porter's productions of Matador and Pasiones are excellent.,10,10,2,3,(X (X (X) (X))),0.00688701847,145.2007141,22.2424694,0.9193901,give_opinion,match_scores,1
747,747,74,Dragostea din tei performer O-Zone. O-Zone genre electronica. Dragostea din tei publication date 2003. Dragostea din tei producer Dan Balan. Oriunde ai fi performer O-Zone.,Dragostea din tei O-Zone electronica 2003 Dan Balan Oriunde ai fi,inform," O-Zone is an electronica group, and in 2003 they released Dragostea din tei, produced by Dan Balan. Another work from them is Oriunde ai fi.",25,25,2,5,(X (X) (X) (X (X) (X))),0.004724521388,211.6616516,9.910997967,0.8994633,inform,match_scores,1
756,756,75,Paint It Black performer The Rolling Stones. The Rolling Stones genre rhythm and blues. The Rolling Stones genre blues.,Paint It Black The Rolling Stones rhythm and blues blues,inform,Paint It Black is a rhythm and blues and blues song by The Rolling Stones.,15,15,2,3,(X (X (X) (X))),0.01769736695,56.5055809,21.30541362,0.951436,inform,match_scores,1
760,760,76,Y.M.C.A. genre disco. From the Inside genre disco. Y.M.C.A. performer Village People. Cruisin' tracklist Y.M.C.A..,Y.M.C.A. From the Inside disco Village People Cruisin',inform," Y.M.C.A. is a disco song by Village People, featured in the album Cruisin'. Another disco track is From the Inside.",20,20,2,4,(X (X) (X) (X (X))),0.0165613723,60.38146973,29.89025113,0.8089351,inform,match_scores,1
772,772,77,Mr. Brightside genre indie rock. Fun genre indie rock. Mr. Brightside producer The Killers. Klaxons genre indie rock.,Mr. Brightside Fun indie rock The Killers Klaxons,inform,Mr. Brightside by The Killers is an indie rock song. Other notable indie rock bands include Fun and Klaxons.,19,19,2,4,(X (X) (X (X) (X))),0.01042079013,95.96201324,10.06263531,0.8412822,inform,match_scores,1
780,780,78,"Macarena record label RCA Records, Inc.. RCA Records, Inc. genre jazz. Macarena publication date 1993. Macarena genre dance-pop. Macarena producer Los del Río. RCA Records, Inc. genre electronic music. RCA Records, Inc. genre rock music. ","Macarena RCA Records, Inc. jazz 1993 dance-pop Los del Río electronic music rock music",inform," Macarena, released in 1993 by RCA Records, Inc., is a dance-pop song produced by Los del Río, with genres such as jazz, electronic music, and rock music.",27,27,2,7,(X (X) (X) (X) (X (X) (X) (X))),0.03221144066,31.04487038,16.89554749,0.89029145,inform,match_scores,1
793,793,79,Get Up! genre dubstep. Dizzee Rascal genre dubstep. Get Up! part of The Path of Totality. Get Up! producer Skrillex. Get Up! record label Roadrunner Records.,Get Up! Dizzee Rascal dubstep The Path of Totality Skrillex Roadrunner Records,inform," Get Up! is a dubstep track by Dizzee Rascal, produced by Skrillex and released on Roadrunner Records as part of The Path of Totality.",24,24,2,5,(X (X) (X) (X) (X (X))),0.03472122746,28.80082512,15.95579953,0.9238114,inform,match_scores,1
802,802,80,Wild rating excellent. Wild record label Universal Music Australia. Fingerprints – The Best of Powderfinger 1994–2000 record label Universal Music Australia.,Wild excellent Universal Music Australia Fingerprints – The Best of Powderfinger 1994–2000,verify_attribute,"
You love Wild. Do you think the other songs from Fingerprints – The Best of Powderfinger 1994–2000 on Universal Music Australia are equally great?",24,24,2,3,(X (X (X) (X))),0.00444052297,225.1987,27.69876272,0.8883977,verify_attribute,match_scores,1
814,814,81,For a Friend genre pop music. If I Were a Boy genre pop music. For a Friend producer Stephen Hague. For a Friend publication date 1988. Red tracklist For a Friend. Jasmin Tabatabai genre pop music. Maria von Trapp genre pop music.,For a Friend If I Were a Boy pop music Stephen Hague 1988 Red Jasmin Tabatabai Maria von Trapp,inform,For a Friend is a 1988 pop song produced by Stephen Hague and featured on the Red tracklist. Other pop musicians include Jasmin Tabatabai and Maria von Trapp.,28,28,2,7,(X (X) (X) (X) (X (X) (X) (X))),0.005607704707,178.3260803,10.63064363,0.86130655,inform,match_scores,1
822,822,82,Sweet Home Alabama genre rock music. Jon Bon Jovi genre rock music. Sweet Home Alabama publication date 1974.,Sweet Home Alabama Jon Bon Jovi rock music 1974,inform,Sweet Home Alabama is a 1974 rock song. Jon Bon Jovi is a popular rock musician.,16,16,2,3,(X (X) (X (X))),0.01146155157,87.24822235,14.44788671,0.8923846,inform,match_scores,1
830,830,83,Apple Shampoo genre pop punk. Why Don't You Get a Job? genre pop punk. Apple Shampoo producer Mark Trombino. Apple Shampoo performer Blink-182. Etwas genre pop punk.,Apple Shampoo Why Don't You Get a Job? pop punk Mark Trombino Blink-182 Etwas,inform,Apple Shampoo by Blink-182 is a pop punk song produced by Mark Trombino. Other examples of pop punk include Why Don't You Get a Job? and Etwas.,27,27,2,5,(X (X) (X) (X (X) (X))),0.01422113589,70.31787109,25.31224579,0.8688977,suggest,all_scores,0
846,846,84,"Over It record label RCA Records, Inc.. RCA Records, Inc. genre classical music. Over It rating excellent. Over It producer Billy Steinberg. Over It producer Josh Alexander. Over It performer Katharine McPhee. Hysteria performer Katharine McPhee. ","Over It RCA Records, Inc. classical music excellent Billy Steinberg Josh Alexander Hysteria Katharine McPhee",inform," Over It is an excellent classical music song, produced by Billy Steinberg and Josh Alexander, released by RCA Records, Inc. and performed by Katharine McPhee. Another song by Katharine McPhee is Hysteria.",32,32,2,7,(X (X) (X) (X) (X (X)) (X (X))),0.02281910637,43.82292557,15.08765358,0.87530285,inform,match_scores,1
852,852,85,Space Oddity performer David Bowie. David Bowie genre ambient music. Space Oddity publication date 1969. Space Oddity producer Gus Dudgeon. Space Oddity genre folk rock. Space Oddity genre space rock. Space Oddity record label Philips Records.,Space Oddity David Bowie ambient music 1969 Gus Dudgeon folk rock space rock Philips Records,inform," In 1969, David Bowie released the folk rock, space rock and ambient music single ""Space Oddity"" under Philips Records, produced by Gus Dudgeon.",23,23,2,7,(X (X) (X) (X) (X) (X) (X (X))),0.0143009223,69.92556,6.927101364,0.9196347,inform,match_scores,1
861,861,86,Matador genre candombe. Goldenwings genre candombe. Verde paisaje del Infierno genre candombe.,Matador Goldenwings candombe Verde paisaje del Infierno,inform," Matador, Goldenwings and Verde paisaje del Infierno are candombe songs.",10,10,2,3,(X (X (X) (X))),0.00107682351,928.6572876,24.38418319,0.9453901,give_opinion,all_scores,0
879,879,87,Every Breath You Take genre pop rock. pop rock part of rock music. pop rock part of pop music.,Every Breath You Take pop rock rock music pop music,inform," Every Breath You Take is a pop rock song, a subgenre of both rock music and pop music.",18,18,2,3,(X (X (X) (X))),0.02406483729,41.55440521,17.92334464,0.8729516,inform,match_scores,1
881,881,88,Cold Heart (Pnau remix) performer Dua Lipa. Dua Lipa genre pop music. Cold Heart (Pnau remix) genre disco. Cold Heart (Pnau remix) producer Pnau.,Cold Heart (Pnau remix) Dua Lipa pop music disco Pnau,inform,Dua Lipa's Cold Heart (Pnau remix) is a disco and pop music track produced by Pnau.,16,16,2,4,(X (X) (X) (X (X))),0.01318538007,75.84157562,30.376137,0.9646449,inform,match_scores_PPL,1
894,894,89,Every Breath You Take performer The Police. The Police genre post-punk. Every Breath You Take publication date 1983. Every Breath You Take record label A&M Records. Synchronicity tracklist Every Breath You Take. The Police genre reggae rock.,Every Breath You Take The Police post-punk 1983 A&M Records Synchronicity reggae rock,inform," Every Breath You Take by The Police is a post-punk song released in 1983 by A&M Records, and included in their reggae rock album Synchronicity.",25,25,2,6,(X (X) (X) (X) (X (X) (X))),0.02263792481,44.17366028,20.25790466,0.87290615,inform,match_scores,1
900,900,90,Somebody That I Used to Know genre art pop. Kanye West genre art pop. Somebody That I Used to Know record label Eleven: A Music Company. Somebody That I Used to Know record label Universal Music Group. Khaled record label Universal Music Group. Lady Gaga genre art pop.,Somebody That I Used to Know Kanye West art pop Eleven: A Music Company Khaled Universal Music Group Lady Gaga,inform," Somebody That I Used to Know is an art pop song released by Eleven: A Music Company and Universal Music Group. Kanye West, DJ Khaled, and Lady Gaga are all art pop artists associated with Universal Music Group.",38,38,2,6,(X (X) (X (X)) (X (X) (X))),0.02330567882,42.90799713,25.10217957,0.87939656,inform,match_scores,1
918,918,91,Poison producer RedOne. RedOne genre hip hop music. Poison record label Interscope Records. Poison publication date 2010. Killer Love tracklist Poison. Poison genre dance-pop. RedOne record label Island Records.,Poison RedOne hip hop music Interscope Records 2010 Killer Love dance-pop Island Records,inform," RedOne, a hip hop music producer, released the dance-pop song Poison in 2010, as part of the album Killer Love on Interscope Records, and on Island Records.",27,27,2,7,(X (X) (X) (X) (X) (X (X) (X))),0.01728592444,57.85053635,7.833630975,0.86154723,inform,match_scores,1
929,929,92,David Bowie rating excellent. David Bowie genre new wave.,David Bowie excellent new wave,request_explanation,What is it about David Bowie's new wave music that you find so excellent?,14,14,2,2,(X (X (X))),0.01674271903,59.72745514,6.250381528,0.84704065,request_explanation,match_scores_PPL,1
930,930,93,Blinding Lights genre electropop. Martin Rolinski genre electropop. Blinding Lights publication date 2019. Blinding Lights genre synthwave. Blinding Lights producer Max Martin. All the Things She Said genre electropop. Burnside Project genre electropop.,Blinding Lights Martin Rolinski electropop 2019 synthwave Max Martin All the Things She Said Burnside Project,inform," Blinding Lights, an electropop and synthwave song produced by Max Martin, was released in 2019. Other electropop acts include Martin Rolinski and All the Things She Said by Burnside Project.",30,30,2,7,(X (X) (X) (X) (X (X) (X) (X))),0.009690419229,103.1947098,16.20743068,0.8886209,inform,match_scores,1
942,942,94,Get Up! performer Korn. Korn genre nu metal. Get Up! producer Skrillex. Get Up! publication date 2011. Korn record label Virgin Records. The Path of Totality Tour: Live at the Hollywood Palladium performer Korn.,Get Up! Korn nu metal Skrillex 2011 Virgin Records The Path of Totality Tour: Live at the Hollywood Palladium,inform," Korn is a nu metal band signed to Virgin Records. They released Get Up! in 2011, produced by Skrillex, and also performed it live on The Path of Totality Tour: Live at the Hollywood Palladium.",35,35,2,6,(X (X) (X) (X (X) (X) (X))),0.02429293117,41.16423798,31.36435179,0.8619558,inform,match_scores,1
